molecule,cas,best_match_url,results,query_url,query_type,Highest Development Event Status and Year,Highest Development Event Source ID,Highest Development Event Source URL,Earliest Approved Event Status and Year,Earliest Approved Event Source ID,Earliest Approved Event Source URL,conditions,phases
MENTHA PIPERITA,84082-70-2,N/A,0,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""84082%2070%202"")",ONLY CAS,,,,,,,,
MENTHOL,89-78-1,https://drugs.ncats.io/drug/YS08XHA860,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""89%2078%201"")",ONLY CAS,US Approved OTC ,"21 CFR 346.16(c) anorectal:analgesic, anesthetic, antipruritic menthol",https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec346-16.xml,US Previously Marketed 1921,Menthol U.S.P.,https://www.gutenberg.org/files/41778/41778-h/41778-h.htm,Itching; Mild pain; Rhinitis; Gastrointestinal endoscopy; Common cold; Pain; Sore throat; Arthritis; Simple backache,Approved; Approved; Approved; Phase III; Approved; Not Provided; Approved; Approved; Approved
MEPACRINE,83-89-6,https://drugs.ncats.io/drug/H0C805XYDE,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""83%2089%206"")",ONLY CAS,US Previously Marketed 1938,Plasmoquine E,https://books.google.com/books?id=jglFsz5EJR8C&lpg=PA381&ots=DG2kaw3Z_a&dq=AMINACRINE%20first%20marketed&pg=PA381#v=onepage&q=AMINACRINE%20first%20marketed&f=false,US Previously Marketed 1938,Plasmoquine E,https://books.google.com/books?id=jglFsz5EJR8C&lpg=PA381&ots=DG2kaw3Z_a&dq=AMINACRINE%20first%20marketed&pg=PA381#v=onepage&q=AMINACRINE%20first%20marketed&f=false,Ascites due to various cancers; Giardiasis; Cestodiasis; Malaria,Withdrawn; Withdrawn; Withdrawn; Withdrawn
MEPENZOLATE,25990-43-6,https://drugs.ncats.io/drug/ONW3LB39P7,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""25990%2043%206"")",ONLY CAS,US Previously Marketed 1956,CANTIL by SANOFI AVENTIS US,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=010679,US Previously Marketed 1956,CANTIL by SANOFI AVENTIS US,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=010679,Peptic ulcer,Approved
MEPHENESIN,59-47-2,https://drugs.ncats.io/drug/7B8PIR2954,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""59%2047%202"")",ONLY CAS,US Previously Marketed 1961,TOLSEROL by SQUIBB,https://www.govinfo.gov/content/pkg/FR-1970-06-25/pdf/FR-1970-06-25.pdf,US Previously Marketed 1948,Tolserol by Squibb,DeHaen 1940-1975 NMEs,Painful muscular contractions,Approved
MEPHENTERMINE,100-92-5,https://drugs.ncats.io/drug/TEZ91L71V4,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""100%2092%205"")",ONLY CAS,US Previously Marketed 1947,Wyamine Sulfate by Wyeth,DeHaen 1940-1975 NMEs,US Previously Marketed 1947,Wyamine Sulfate by Wyeth,DeHaen 1940-1975 NMEs,Hypotension,Approved
MEPHENYTOIN,50-12-4,https://drugs.ncats.io/drug/R420KW629U,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""50%2012%204"")",ONLY CAS,US Previously Marketed 1946,MESANTOIN by NOVARTIS,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=006008,US Previously Marketed 1946,MESANTOIN by NOVARTIS,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=006008,Epilepsy,Approved
MEPIVACAINE,96-88-8,https://drugs.ncats.io/drug/B6E06QE59J,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""96%2088%208"")",ONLY CAS,US Approved Rx 1960,NDA012250,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=012250,US Approved Rx 1960,NDA012250,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=012250,Pain,Approved
MEPOLIZUMAB,196078-29-2,https://drugs.ncats.io/drug/90Z2UF0E52,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""196078%2029%202"")",ONLY CAS,US Approved Rx 2015,BLA125526,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=125526,US Approved Rx 2015,BLA125526,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=125526,,
MEPROBAMATE,57-53-4,https://drugs.ncats.io/drug/9I7LNY769Q,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""57%2053%204"")",ONLY CAS,US Approved Rx 2009,ANDA090122,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=090122,US Previously Marketed 1955,EQUANIL by WYETH AYERST,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=010028,Anxiety,Approved
MEPYRAMINE,91-84-9,https://drugs.ncats.io/drug/HPE317O9TL,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""91%2084%209"")",ONLY CAS,US Approved OTC ,21 CFR 341.12(k) cough/cold:antihistamine pyrilamine maleate,https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec341-12.xml,US Previously Marketed 1948,Neo-Antergan by Merck,DeHaen 1940-1975 NMEs,Premenstrual syndrome; Allergic rhinitis; Upper respiratory allergies,Approved; Approved; Approved
MEQUINOL,150-76-5,https://drugs.ncats.io/drug/6HT8U7K3AM,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""150%2076%205"")",ONLY CAS,US Previously Marketed 1999,SOLAGE by ALMIRALL,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=020922,US Previously Marketed 1999,SOLAGE by ALMIRALL,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=020922,Solar lentigines,Approved
MERBROMIN,129-16-8,https://drugs.ncats.io/drug/M0T18YH28D,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""129%2016%208"")",ONLY CAS,US Previously Marketed 1924,Mercurochrome by HYNSON WESTCOTT & DUNNING,https://trademarks.justia.com/712/05/metaphen-71205188.html,US Previously Marketed 1924,Mercurochrome by HYNSON WESTCOTT & DUNNING,https://trademarks.justia.com/712/05/metaphen-71205188.html,Otomycosis; Burn,Preclinical; Approved
MERCAPTAMINE,60-23-1,https://drugs.ncats.io/drug/5UX2SD1KE2,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""60%2023%201"")",ONLY CAS,US Approved Rx 2020,NDA213491,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=213491,US Approved Rx 1994,NDA020392,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=020392,Nephropathic cystinosis,Approved
MERCAPTOPURINE,50-44-2,https://drugs.ncats.io/drug/PKK6MUZ20G,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""50%2044%202"")",ONLY CAS,US Approved Rx 2004,ANDA040528,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=040528,US Previously Marketed 1953,PURINETHOL by STASON PHARMS,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=009053,Acute lymphoblastic leukemia,Approved
MERCUROUS OXIDE,15829-53-5,https://drugs.ncats.io/drug/0I308SWC92,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""15829%2053%205"")",ONLY CAS,US Approved OTC ,21 CFR 358.710(a)(7) dandruff:dandruff sulfur,https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec358-710.xml,US Previously Marketed 1921,Washed Sulphur U.S.P.,https://www.gutenberg.org/files/41778/41778-h/41778-h.htm,Scalp itching and flaking,Approved
MERCURY MERCURIC,62-38-4,https://drugs.ncats.io/drug/OSX88361UX,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""62%2038%204"")",ONLY CAS,US Previously Marketed 1921,phenylmercuric  acetate,https://catalog.hathitrust.org/Record/100163146,US Previously Marketed 1921,phenylmercuric  acetate,https://catalog.hathitrust.org/Record/100163146,Ocular fungal infections; Gonorrhea; Pregnancy; Unknown,Basic research; Phase I; Approved
MERCURY MERCUROUS,10112-91-1,https://drugs.ncats.io/drug/J2D46N657D,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""10112%2091%201"")",ONLY CAS,US Approved OTC ,21 CFR 358.710(a)(7) dandruff:dandruff sulfur,https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec358-710.xml,US Previously Marketed 1921,Washed Sulphur U.S.P.,https://www.gutenberg.org/files/41778/41778-h/41778-h.htm,Scalp itching and flaking,Approved
MEROPENEM,96036-03-2,https://drugs.ncats.io/drug/YOP6PX0BAO,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""96036%2003%202"")",ONLY CAS,US Approved Rx 2016,ANDA205883,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=205883,US Approved Rx 1996,NDA050706,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=050706,Skin structure infections; Intra-abdominal infections; Bacterial meningitis,Approved; Approved; Approved
MESALAZINE,89-57-6,https://drugs.ncats.io/drug/4Q81I59GXC,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""89%2057%206"")",ONLY CAS,US Approved Rx 2019,ANDA207271,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=207271,US Approved Rx 1987,NDA019618,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=019618,Ulcerative colitis,Approved
MESNA,19767-45-4,https://drugs.ncats.io/drug/NR7O1405Q9,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""19767%2045%204"")",ONLY CAS,US Approved Rx 2010,ANDA090913,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=090913,US Previously Marketed 1987,IFEX/MESNEX KIT by BAXTER HLTHCARE,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=019763,Ifosfamide-induced hemorrhagic cystitis,Approved
MESORIDAZINE,5588-33-0,https://drugs.ncats.io/drug/5XE4NWM740,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""5588%2033%200"")",ONLY CAS,US Previously Marketed 1970,SERENTIL by NOVARTIS,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=016775,US Previously Marketed 1970,SERENTIL by NOVARTIS,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=016775,Schizophrenia; Psychosis,Approved; Approved
MESTRANOL,72-33-3,https://drugs.ncats.io/drug/B2V233XGE7,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""72%2033%203"")",ONLY CAS,US Previously Marketed 1964,NORINYL 1+50 21-DAY by ACTAVIS LABS UT INC,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=013625,US Previously Marketed 1957,Enovid by Searle,DeHaen 1940-1975 NMEs,Menstrual cycle disorder; Pregnancy,Approved; Approved
MESUXIMIDE,77-41-8,https://drugs.ncats.io/drug/0G76K8X6C0,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""77%2041%208"")",ONLY CAS,US Approved Rx 1957,NDA010596,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=010596,US Approved Rx 1957,NDA010596,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=010596,Epilepsy,Approved
METADOXINE,74536-44-0,https://drugs.ncats.io/drug/EJQ7M98H5J,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""74536%2044%200"")",ONLY CAS,Possibly Marketed Outside US 2010,NCT02161653: Phase 4 Interventional Completed Severe Alcoholic Hepatitis,https://clinicaltrials.gov/ct2/show/NCT02161653,,,,Fragile X syndrome; Alcoholic hepatitis; Attention deficit hyperactivity disorder,Phase II; Approved; Phase III
METARAMINOL,54-49-9,https://drugs.ncats.io/drug/818U2PZ2EH,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""54%2049%209"")",ONLY CAS,US Approved Rx 2021,ANDA211304,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=211304,US Previously Marketed 1954,ARAMINE by MERCK,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=009509,Acute hypotensive state; Hemorrhage; Shock; Priapism,Approved; Approved; Approved; Not Provided
METAXALONE,1665-48-1,https://drugs.ncats.io/drug/1NMA9J598Y,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""1665%2048%201"")",ONLY CAS,US Approved Rx 2015,ANDA040486,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=040486,US Previously Marketed 1962,SKELAXIN by KING PHARMS,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=013217,Painful musculoskeletal conditions,Approved
METFORMIN,657-24-9,https://drugs.ncats.io/drug/9100L32L2N,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""657%2024%209"")",ONLY CAS,US Approved Rx 2006,ANDA077880,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=077880,US Previously Marketed 1995,GLUCOPHAGE by EMD SERONO INC,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=020357,Type 2 diabetes mellitus; Cancer,Approved; Phase III
METHACHOLINE,55-92-5,https://drugs.ncats.io/drug/03V657ZD3V,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""55%2092%205"")",ONLY CAS,US Approved Rx 1986,NDA019193,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=019193,US Approved Rx 1986,NDA019193,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=019193,Asthma,Approved
METHADONE,76-99-3,https://drugs.ncats.io/drug/UC6VBE7V1Z,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""76%2099%203"")",ONLY CAS,US Approved Rx 2015,ANDA203502,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=203502,US Approved Rx 1947,NDA021624,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021624,Detoxification & maintenance treatment of opioid addiction; Pain,Approved; Approved
METHAMPHETAMINE,537-46-2,https://drugs.ncats.io/drug/44RAL3456C,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""537%2046%202"")",ONLY CAS,US Approved Rx 2010,ANDA091189,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=091189,US Approved Rx 1943,NDA005378,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=005378,Attention deficit hyperactivity disorder; Exogenous obesity; Unknown,Approved; Approved
METHAPYRILENE,91-80-5,https://drugs.ncats.io/drug/A01LX40298,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""91%2080%205"")",ONLY CAS,US Previously Marketed 1961,SEMIKON HCL by BEECHAM LABS,https://www.govinfo.gov/content/pkg/FR-1973-03-19/pdf/FR-1973-03-19.pdf,US Previously Marketed 1947,Thenylene HCl by Abbott,DeHaen 1940-1975 NMEs,Unknown,
METHAZOLAMIDE,100-97-0,https://drugs.ncats.io/drug/J50OIX95QV,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""100%2097%200"")",ONLY CAS,US Approved Rx 1967,NDA016151,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=016151,US Previously Marketed 1894,Urotropine,https://books.google.com/books?id=MacRAAAAYAAJ&newbks=1&newbks_redir=0&dq=urotropine&pg=RA1-PA426#v=onepage&q=urotropine&f=false,Urinary tract infections,Approved
METHENAMINE,100-97-0,https://drugs.ncats.io/drug/J50OIX95QV,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""100%2097%200"")",ONLY CAS,US Approved Rx 1967,NDA016151,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=016151,US Previously Marketed 1894,Urotropine,https://books.google.com/books?id=MacRAAAAYAAJ&newbks=1&newbks_redir=0&dq=urotropine&pg=RA1-PA426#v=onepage&q=urotropine&f=false,Urinary tract infections,Approved
METHIONINE,63-68-3,https://drugs.ncats.io/drug/AE28F7PNPL,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""63%2068%203"")",ONLY CAS,US Previously Marketed 1945,Methionine by Various Mfrs.,DeHaen 1940-1975 NMEs,US Previously Marketed 1945,Methionine by Various Mfrs.,DeHaen 1940-1975 NMEs,AIDS vacuolar myelopathy; Skin irritation in incontinent adults and diaper rash in infants; Alkaline urine,Phase III; Not Provided; Approved
METHOCARBAMOL,532-03-6,https://drugs.ncats.io/drug/125OD7737X,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""532%2003%206"")",ONLY CAS,US Approved Rx 2016,ANDA206128,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=206128,US Previously Marketed 1957,ROBAXIN by AUXILIUM PHARMS LLC,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=011011,Muscle spasm,Approved
METHOHEXITAL,151-83-7,https://drugs.ncats.io/drug/E5B8ND5IPE,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""151%2083%207"")",ONLY CAS,US Approved Rx 1960,NDA011559,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=011559,US Approved Rx 1960,NDA011559,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=011559,Pain,Approved
METHOTREXATE,59-05-2,https://drugs.ncats.io/drug/YL5FZ2Y5U1,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""59%2005%202"")",ONLY CAS,US Approved Rx 2020,ANDA210454,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=210454,US Previously Marketed 1953,METHOTREXATE SODIUM by STRIDES PHARMA,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=008085,Gestational choriocarcinoma; Breast cancer; Lung cancer; Rheumatoid arthritis,Approved; Approved; Approved; Approved
METHOXAMINE,390-28-3,https://drugs.ncats.io/drug/HUQ1KC1YLI,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""390%2028%203"")",ONLY CAS,US Previously Marketed 1949,Vasoxyl by Burroughs Wellcome,DeHaen 1940-1975 NMEs,US Previously Marketed 1949,Vasoxyl by Burroughs Wellcome,DeHaen 1940-1975 NMEs,Fecal incontinence,Approved
METHOXSALEN,298-81-7,https://drugs.ncats.io/drug/U4VJ29L7BQ,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""298%2081%207"")",ONLY CAS,US Approved Rx 1986,NDA019600,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=019600,US Previously Marketed 1954,8-MOP by VALEANT PHARM INTL,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=009048,"Idiopathic vitiligo; Cutaneous T-cell lymphoma; Severe, recalcitrant, disabling psoriasis",Approved; Approved; Approved
METHOXY POLYETHYLENE GLYCOL-EPOETIN BETA,677324-53-7,https://drugs.ncats.io/drug/LR3UXN0193,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""677324%2053%207"")",ONLY CAS,US Approved Rx 2007,BLA125164,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=125164,US Approved Rx 2007,BLA125164,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=125164,,
METHYCLOTHIAZIDE,135-07-9,https://drugs.ncats.io/drug/L3H46UAC61,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""135%2007%209"")",ONLY CAS,US Previously Marketed 1986,METHYCLOTHIAZIDE by PAR PHARM,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=089136,US Previously Marketed 1960,ENDURON by ABBVIE,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=012524,Hypertension,Approved
METHYLANTHRANILATE,134-20-3,https://drugs.ncats.io/drug/981I0C1E5W,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""134%2020%203"")",ONLY CAS,Possibly Marketed Outside US 2024,M020,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=51d5862a-8f2c-40c6-a749-5ad6f9420143,Possibly Marketed Outside US 2012,21 CFR 333A,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=0dade250-cbaf-47f5-9c31-1b9aa0447cfe,,
METHYLBENZETHONIUM,72013-76-4,https://drugs.ncats.io/drug/NJX1653L36,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""72013%2076%204"")",ONLY CAS,Possibly Marketed Outside US ,"Leshcutan by Bensonab, R.A.|Slobodyab, L.B.|Lillickab, L.|Maffiaab, A.|Sullivan, N.",https://www.sciencedirect.com/science/article/pii/S0022347649801983,,,,Bacterial infections; Leishmaniasis,Approved; Approved
METHYLCELLULOSE,9004-67-5,https://drugs.ncats.io/drug/Z944H5SN0H,8,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""9004%2067%205"")%20AND%20(root_names_name:""%5EMETHYLCELLULOSE$"")",EXACT NAME,US Approved OTC ,21 CFR 349.12(a)(4) ophthalmic:demulcents methylcellulose,https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec349-12.xml,Possibly Marketed Outside US 1959,ANDA040124,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5000bfb2-d2da-45cb-acd7-86a4e8ea3b0d,,
METHYLDOPA,555-30-6,https://drugs.ncats.io/drug/M4R0H12F6M,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""555%2030%206"")",ONLY CAS,US Approved Rx 1985,ANDA070075,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=070075,US Previously Marketed 1962,ALDOMET by MERCK,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=013400,Type 1 diabetes in DQ8 positive patients with residual beta cell function; Hypertension; Preeclampsia; Hypertension,Approved; Approved; Phase IV; Approved
METHYLDOPATE,6014-30-8,https://drugs.ncats.io/drug/2579Z4P04J,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""6014%2030%208"")",ONLY CAS,US Approved Rx 1985,ANDA070075,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=070075,US Previously Marketed 1962,ALDOMET by MERCK,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=013400,Type 1 diabetes in DQ8 positive patients with residual beta cell function; Hypertension; Preeclampsia; Hypertension,Approved; Approved; Phase IV; Approved
METHYLENE BLUE,61-73-4,https://drugs.ncats.io/drug/8NAP7826UB,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""61%2073%204"")",ONLY CAS,US Approved Rx 2016,NDA204630,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=204630,US Previously Marketed 1921,Methylthionine Chloride U.S.P.,https://www.gutenberg.org/files/41778/41778-h/41778-h.htm,Cancer; Ifosfamide-induced encelophaty; Methemoglobinemia; Dermatologic infections; Septic shock; Alzheimer’s disease,Approved; Approved; Approved; Approved; Phase III; Phase II
METHYLERGOMETRINE,113-42-8,https://drugs.ncats.io/drug/W53L6FE61V,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""113%2042%208"")",ONLY CAS,US Approved Rx 2021,ANDA211919,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=211919,US Approved Rx 1946,NDA006035,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=006035,Hemorrhage of the uterus following delivery of the placenta,Approved
METHYLFOLATE,70114-87-3,https://drugs.ncats.io/drug/N3K9WO9CMA,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""70114%2087%203"")",ONLY CAS,,,,,,,,
METHYLNALTREXONE BROMIDE,73232-52-7,https://drugs.ncats.io/drug/RFO6IL3D3M,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""73232%2052%207"")",ONLY CAS,US Approved Rx 2016,NDA208271,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=208271,US Approved Rx 2008,NDA021964,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021964,Opioid-induced constipation,Approved
METHYLPARABEN,99-76-3,https://drugs.ncats.io/drug/A2I8C7HI9T,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""99%2076%203"")",ONLY CAS,US Previously Marketed ,21 CFR 310.545(a)(22)(ii) antifungal:diaper rash methylparaben,https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-545.xml,Possibly Marketed Outside US 1974,E-Z-Paste by E-Z-EM Canada Inc,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=704132ea-4986-0b2c-2dd4-de89c0282a15,Unknown; Psychotic Disorders,Approved
METHYLPHENIDATE,113-45-1,https://drugs.ncats.io/drug/207ZZ9QZ49,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""113%2045%201"")",ONLY CAS,US Approved Rx 2018,ANDA210139,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=210139,US Approved Rx 1955,NDA010187,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=010187,Attention deficit hyperactivity disorder; Narcolepsy,Approved; Approved
METHYLPHENOBARBITAL,115-38-8,https://drugs.ncats.io/drug/5NC67NU76B,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""115%2038%208"")",ONLY CAS,US Previously Marketed 1961,MONOMEB TABLETS METHYLPHENOBARBITAL by WINTHROP,https://books.google.ru/books?id=szDnBwAAQBAJ&pg=PA73&lpg=PA73&dq=MONOMEB+WINTHROP&source=bl&ots=CvuwHrt5J7&sig=ehypR0G6oGIXd_61JjvD5ZLRJ0U&hl=ru&sa=X&ved=2ahUKEwi17a2517rfAhVGCywKHfM5CnIQ6AEwB3oECAkQAQ#v=onepage&q=MONOMEB%20WINTHROP&f=falsehttps://www.sciencedirect.com/science/article/pii/S0095956116336866 ,US Previously Marketed 1921,methylphenobarbital,https://catalog.hathitrust.org/Record/100163146,Anxiety; Epilepsy,Approved; Approved
METHYLPREDNISOLONE,83-43-2,https://drugs.ncats.io/drug/X4W7ZR7023,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""83%2043%202"")",ONLY CAS,US Approved Rx 2004,ANDA040612,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=040612,US Approved Rx 1957,NDA011153,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=011153,Congenital adrenal hyperplasia; Rheumatoid arthritis; Contact dermatitis,Approved; Approved; Approved
