Unnamed: 0,Original Molecule,Parsed Molecule,Link,Result Type,CAS,Deprecated CAS,Compound/Substance,Depositor Synonym List,Regular Synonym List,Synonym?,,
1236,HANDCREAM,HANDCREAM,https://pubchem.ncbi.nlm.nih.gov/substance/483925030,RELEVANT,No CAS info,No CAS info,SUBSTANCE,NO,MISSING,NO,,
1237,HARD_LENS_SOLUTIONS,HARD LENS SOLUTIONS,https://pubmed.ncbi.nlm.nih.gov/8565193,RELEVANT,No CAS info,No CAS info,NEITHER,MISSING,MISSING,NO,,
1238,HARPAGOPHYTUM_PROCUMBENS,HARPAGOPHYTUM PROCUMBENS,https://pubchem.ncbi.nlm.nih.gov/substance/483932717,RELEVANT,No CAS info,No CAS info,SUBSTANCE,NO,MISSING,NO,,
1239,HASLEA_OSTREARIA,HASLEA OSTREARIA,https://pubchem.ncbi.nlm.nih.gov/compound/Haslea%20ostrearia,FEATURED,No CAS info,No CAS info,COMPOUND,MISSING,YES,YES,,
1240,HELIANTHUS_ANNUUS,HELIANTHUS ANNUUS,https://pubchem.ncbi.nlm.nih.gov/substance/483934356,RELEVANT,No CAS info,No CAS info,SUBSTANCE,NO,MISSING,NO,,
1241,HELODERMA_HORRIDUM,HELODERMA HORRIDUM,https://pubchem.ncbi.nlm.nih.gov/compound/45588096,RELEVANT,141758-74-9,"141732-76-5, 286014-72-0, 335149-21-8",COMPOUND,NO,NO,NO,,
1242,HEME_IRON_POLYPEPTIDE,HEME IRON POLYPEPTIDE,https://pubchem.ncbi.nlm.nih.gov/compound/Heme%20iron%20polypeptide,FEATURED,No CAS info,No CAS info,COMPOUND,MISSING,YES,YES,,
1243,HEMICELLULASE,HEMICELLULASE,https://pubchem.ncbi.nlm.nih.gov/compound/168009862,FEATURED,9025-56-3,No CAS info,COMPOUND,YES,YES,YES,,
1244,HEMIN,HEMIN,https://pubchem.ncbi.nlm.nih.gov/source/25339,FEATURED,No CAS info,No CAS info,NEITHER,MISSING,MISSING,NO,,
1245,HEPARIN,HEPARIN,https://pubchem.ncbi.nlm.nih.gov/compound/Heparin,FEATURED,"9005-49-6, 9041-08-1","104521-37-1, 11078-24-3, 1108625-99-5, 1108626-06-7, 11129-39-8, 37324-73-5, 9075-96-1, 91449-79-5, 101921-26-0, 102785-31-9, 12656-11-0, 913079-23-9, 104521-37-1, 11078-24-3, 1108625-99-5, 1108626-06-7, 11129-39-8, 1512870-53-9, 37324-73-5, 91449-79-5",COMPOUND,MISSING,YES,YES,,
1246,HERBAL,HERBAL,https://pubchem.ncbi.nlm.nih.gov/compound/338,RELEVANT,"69-72-7, 8042-60-2","1186130-36-8, 7681-06-3, 8052-31-1, 1186130-36-8, 8052-31-1",COMPOUND,NO,NO,NO,,
1247,HESPERIDIN,HESPERIDIN,https://pubchem.ncbi.nlm.nih.gov/compound/10621,FEATURED,520-26-3,"106904-63-6, 15512-51-3, 16643-24-6, 17654-22-7, 1817614-33-7, 28283-75-2, 30927-97-0, 32737-61-4, 960582-50-7, 106904-63-6, 15512-51-3, 16643-24-6, 17654-22-7, 28283-75-2, 30927-97-0, 32737-61-4, 960582-50-7",COMPOUND,YES,YES,YES,,
1248,HETASTARCH,HETASTARCH,https://pubchem.ncbi.nlm.nih.gov/substance/341161208,RELEVANT,No CAS info,No CAS info,SUBSTANCE,YES,YES,YES,,
1249,HEXACHLOROPHENE,HEXACHLOROPHENE,https://pubchem.ncbi.nlm.nih.gov/compound/3598,FEATURED,70-30-4,"1195388-85-2, 139411-96-4, 8054-98-6",COMPOUND,YES,YES,YES,,
1250,HEXAMIDINE,HEXAMIDINE,https://pubchem.ncbi.nlm.nih.gov/compound/65130,FEATURED,3811-75-4,No CAS info,COMPOUND,YES,YES,YES,,
1251,HEXAMINOLEVULINIC_ACID,HEXAMINOLEVULINIC ACID,https://pubmed.ncbi.nlm.nih.gov/18679653,RELEVANT,No CAS info,No CAS info,NEITHER,MISSING,MISSING,NO,,
1252,HEXYLRESORCINOL,HEXYLRESORCINOL,https://pubchem.ncbi.nlm.nih.gov/compound/3610,FEATURED,136-77-6,No CAS info,COMPOUND,YES,YES,YES,,
1253,HIBISCUS,HIBISCUS,https://pubchem.ncbi.nlm.nih.gov/compound/702,RELEVANT,"64-17-5, 2154-50-9, 2348-46-1","121182-78-3, 8000-16-6, 8024-45-1, 8000-16-6, 8024-45-1",COMPOUND,MISSING,NO,NO,,
1254,HISTAMINE,HISTAMINE,https://pubchem.ncbi.nlm.nih.gov/compound/774,FEATURED,51-45-6,"1416954-63-6, 64422-25-9, 924364-91-0, 64422-25-9",COMPOUND,YES,YES,YES,,
1255,HISTIDINE,HISTIDINE,https://pubchem.ncbi.nlm.nih.gov/compound/6274,FEATURED,71-00-1,"150-35-6, 155304-24-8, 35479-49-3, 35558-59-9, 45955-20-2, 54166-13-1, 7006-35-1, 736075-03-9, 150-35-6, 155304-24-8, 35479-49-3, 35558-59-9, 54166-13-1, 7006-35-1, 736075-03-9",COMPOUND,YES,YES,YES,,
1256,HISTOPLASMIN,HISTOPLASMIN,https://pubchem.ncbi.nlm.nih.gov/substance/135292057,RELEVANT,9008-05-03,No CAS info,SUBSTANCE,YES,YES,YES,,
1257,HISTRELIN,HISTRELIN,https://pubchem.ncbi.nlm.nih.gov/compound/25077993,FEATURED,76712-82-8,No CAS info,COMPOUND,YES,YES,YES,,
1258,HOMATROPINE,HOMATROPINE,https://pubchem.ncbi.nlm.nih.gov/compound/Homatropine,FEATURED,87-00-3,"104441-60-3, 16175-83-0",COMPOUND,MISSING,YES,YES,,
1259,HOMATROPINE_METHYLHYDROXIDE,HOMATROPINE METHYLHYDROXIDE,No Link,Not Found,No CAS info,No CAS info,NEITHER,MISSING,MISSING,NO,,
1260,HOMOEOPATHIC_MEDICINES,HOMOEOPATHIC MEDICINES,https://pubmed.ncbi.nlm.nih.gov/38197691,RELEVANT,No CAS info,No CAS info,NEITHER,MISSING,MISSING,NO,,
1261,HOMOSALATE,HOMOSALATE,https://pubchem.ncbi.nlm.nih.gov/compound/8362,FEATURED,118-56-9,"194304-23-9, 50610-40-7, 52253-93-7, 8045-71-4",COMPOUND,YES,YES,YES,,
1262,HONEY,HONEY,https://pubchem.ncbi.nlm.nih.gov/compound/Honey,FEATURED,8028-66-8,No CAS info,COMPOUND,MISSING,YES,YES,,
1263,HOODIA_GORDONII,HOODIA GORDONII,https://pubchem.ncbi.nlm.nih.gov/substance/482031234,RELEVANT,No CAS info,No CAS info,SUBSTANCE,NO,MISSING,NO,,
1264,HORDEUM_VULGARE,HORDEUM VULGARE,https://pubchem.ncbi.nlm.nih.gov/substance/483936536,RELEVANT,No CAS info,No CAS info,SUBSTANCE,NO,MISSING,NO,,
1265,HUMAN_ALPHA1_PROTEINASE_INHIBITOR,HUMAN ALPHA1 PROTEINASE INHIBITOR,https://pubchem.ncbi.nlm.nih.gov/substance/472420638,RELEVANT,9041-92-3,No CAS info,SUBSTANCE,YES,YES,YES,,
1266,HUMAN_MENOPAUSAL_GONADOTROPHIN,HUMAN MENOPAUSAL GONADOTROPHIN,https://pubchem.ncbi.nlm.nih.gov/compound/21888462,FEATURED,No CAS info,No CAS info,COMPOUND,YES,YES,YES,,
1267,HUMULUS_LUPULUS,HUMULUS LUPULUS,https://pubchem.ncbi.nlm.nih.gov/compound/639665,RELEVANT,6754-58-1,No CAS info,COMPOUND,NO,NO,NO,,
1268,HUPERZINE_A,HUPERZINE A,https://pubchem.ncbi.nlm.nih.gov/compound/854026,FEATURED,"102518-79-6, 120786-18-7","116-28-9, 1369-64-8",COMPOUND,YES,YES,YES,,
1269,HYALURONIC_ACID,HYALURONIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/Hyaluronic%20Acid,FEATURED,"9004-61-9, 9067-32-7, 125935-84-4","1257406-45-3, 1357910-24-7, 1444006-49-8, 1623804-64-7, 1623804-65-8, 165324-65-2, 29382-75-0, 37243-73-5, 9039-38-7, 953845-54-0, 953845-55-1, 953845-56-2, 953845-57-3, 1257406-45-3, 1357910-24-7, 1444006-49-8, 29382-75-0, 37243-73-5, 9039-38-7, 953845-54-0, 953845-55-1, 953845-56-2, 953845-57-3",COMPOUND,MISSING,YES,YES,,
1270,HYALURONIDASE,HYALURONIDASE,https://pubchem.ncbi.nlm.nih.gov/compound/Hyaluronidase,FEATURED,9001-54-1,"9013-16-5, 9013-54-1, 9013-76-7, 9013-97-2, 9037-26-7",COMPOUND,MISSING,YES,YES,,
1271,HYDANTOIN,HYDANTOIN,https://pubchem.ncbi.nlm.nih.gov/compound/10006,FEATURED,461-72-3,"1394977-74-2, 345341-10-8, 345341-10-8",COMPOUND,YES,YES,YES,,
1272,HYDRALAZINE,HYDRALAZINE,https://pubchem.ncbi.nlm.nih.gov/compound/3637,FEATURED,86-54-4,No CAS info,COMPOUND,YES,YES,YES,,
1273,HYDRASTIS_CANADENSIS,HYDRASTIS CANADENSIS,https://pubchem.ncbi.nlm.nih.gov/substance/483936569,RELEVANT,No CAS info,No CAS info,SUBSTANCE,NO,MISSING,NO,,
1274,HYDROCHLORIC_ACID,HYDROCHLORIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/313,FEATURED,"7647-01-0, 22537-15-1","113962-65-5, 218625-68-4, 51005-19-7, 61674-62-2",COMPOUND,YES,YES,YES,,
1275,HYDROCHLOROTHIAZIDE,HYDROCHLOROTHIAZIDE,https://pubchem.ncbi.nlm.nih.gov/compound/3639,FEATURED,58-93-5,"125727-50-6, 8049-49-8, 8049-49-8",COMPOUND,YES,YES,YES,,
1276,HYDROCODONE,HYDROCODONE,https://pubchem.ncbi.nlm.nih.gov/compound/5284569,FEATURED,125-29-1,"1037-91-8, 1469752-80-4, 50678-79-0, 9007-52-7, 1469752-80-4, 50678-79-0, 9007-52-7",COMPOUND,YES,YES,YES,,
1277,HYDROCOLLOID_DRESSING,HYDROCOLLOID DRESSING,https://pubmed.ncbi.nlm.nih.gov/27821789,RELEVANT,No CAS info,No CAS info,NEITHER,MISSING,MISSING,NO,,
1278,HYDROCORTISONE,HYDROCORTISONE,https://pubchem.ncbi.nlm.nih.gov/compound/5754,FEATURED,50-23-7,"1050676-88-4, 1436392-18-5, 8056-08-4, 80562-38-5, 8063-42-1, 1050676-88-4, 80562-38-5, 8063-42-1",COMPOUND,YES,YES,YES,,
1279,HYDROCORTISONE_BUTEPRATE,HYDROCORTISONE BUTEPRATE,https://pubchem.ncbi.nlm.nih.gov/compound/636398,FEATURED,72590-77-3,No CAS info,COMPOUND,YES,YES,YES,,
1280,HYDROFLUMETHIAZIDE,HYDROFLUMETHIAZIDE,https://pubchem.ncbi.nlm.nih.gov/compound/3647,FEATURED,135-09-1,No CAS info,COMPOUND,YES,YES,YES,,
1281,HYDROGEN_PEROXIDE,HYDROGEN PEROXIDE,https://pubchem.ncbi.nlm.nih.gov/compound/784,FEATURED,"7722-84-1, 12325-10-9","218625-72-0, 37355-84-3, 66554-50-5, 8007-30-5, 97929-73-2, 218625-72-0, 37355-84-3, 66554-50-5, 8007-30-5",COMPOUND,YES,YES,YES,,
1282,HYDROGEN_PEROXIDE_UREA_DERIVATIVE,HYDROGEN PEROXIDE UREA DERIVATIVE,https://pubmed.ncbi.nlm.nih.gov/908331,RELEVANT,No CAS info,No CAS info,NEITHER,MISSING,MISSING,NO,,
1283,HYDROMORPHONE,HYDROMORPHONE,https://pubchem.ncbi.nlm.nih.gov/compound/5284570,FEATURED,466-99-9,"18145-12-5, 41376-02-7",COMPOUND,YES,YES,YES,,
1284,HYDROQUINONE,HYDROQUINONE,https://pubchem.ncbi.nlm.nih.gov/compound/785,FEATURED,"123-31-9, 3225-30-7","57534-13-1, 8027-02-9, 8027-02-9",COMPOUND,YES,YES,YES,,
1285,HYDROXOCOBALAMIN,HYDROXOCOBALAMIN,https://pubchem.ncbi.nlm.nih.gov/compound/44475014,FEATURED,13422-51-0,8017-22-9,COMPOUND,YES,YES,YES,,
1286,HYDROXYALKYLPHOSPHONATE,HYDROXYALKYLPHOSPHONATE,https://pubmed.ncbi.nlm.nih.gov/10732966,RELEVANT,No CAS info,No CAS info,NEITHER,MISSING,MISSING,NO,,
1287,HYDROXYAMPHETAMINE,HYDROXYAMPHETAMINE,https://pubchem.ncbi.nlm.nih.gov/compound/3651,FEATURED,103-86-6,1518-86-1,COMPOUND,YES,YES,YES,,
1288,HYDROXYCARBAMIDE,HYDROXYCARBAMIDE,https://pubchem.ncbi.nlm.nih.gov/compound/3657,FEATURED,127-07-1,No CAS info,COMPOUND,YES,YES,YES,,
1289,HYDROXYCHLOROQUINE,HYDROXYCHLOROQUINE,https://pubchem.ncbi.nlm.nih.gov/compound/3652,FEATURED,118-42-3,"117456-74-3, 25526-45-8",COMPOUND,YES,YES,YES,,
1290,HYDROXYETHYLCELLULOSE,HYDROXYETHYLCELLULOSE,https://pubchem.ncbi.nlm.nih.gov/compound/4327536,FEATURED,No CAS info,No CAS info,COMPOUND,YES,YES,YES,,
1291,HYDROXYLYSINE,HYDROXYLYSINE,https://pubchem.ncbi.nlm.nih.gov/compound/3032849,FEATURED,1190-94-9,"13189-95-2, 24722-60-9, 27287-98-5, 28902-93-4, 30528-11-1",COMPOUND,YES,YES,YES,,
1292,HYDROXYPROGESTERONE,HYDROXYPROGESTERONE,https://pubchem.ncbi.nlm.nih.gov/compound/6238,FEATURED,"68-96-2, 110850-01-6, 604-09-1","1050677-68-3, 67085-08-9",COMPOUND,YES,YES,YES,,
1293,HYDROXYPROLINE,HYDROXYPROLINE,https://pubchem.ncbi.nlm.nih.gov/compound/5810,FEATURED,"618-28-0, 51-35-4","138-46-5, 17210-41-2, 21105-75-9, 24784-87-0, 54733-36-7",COMPOUND,YES,YES,YES,,
1294,HYDROXYPROPYLCHITOSAN,HYDROXYPROPYLCHITOSAN,https://pubchem.ncbi.nlm.nih.gov/compound/129634078,FEATURED,No CAS info,No CAS info,COMPOUND,YES,YES,YES,,
1295,HYDROXYTOLUIC_ACID,HYDROXYTOLUIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/6738,FEATURED,83-40-9,No CAS info,COMPOUND,YES,YES,YES,,
1296,HYDROXYZINE,HYDROXYZINE,https://pubchem.ncbi.nlm.nih.gov/compound/3658,FEATURED,68-88-2,No CAS info,COMPOUND,YES,YES,YES,,
1297,HYLAN_GEL_POLYSACCHARIDE,HYLAN GEL POLYSACCHARIDE,https://pubmed.ncbi.nlm.nih.gov/17216398,RELEVANT,No CAS info,No CAS info,NEITHER,MISSING,MISSING,NO,,
1298,HYOSCYAMINE,HYOSCYAMINE,https://pubchem.ncbi.nlm.nih.gov/compound/Hyoscyamine,FEATURED,"101-31-5, 5934-50-9","1891070-00-0, 1892-81-5, 28905-40-0, 38411-64-2, 47170-56-9, 8000-07-5",COMPOUND,MISSING,YES,YES,,
1299,HYPERICUM_PERFORATUM,HYPERICUM PERFORATUM,https://pubchem.ncbi.nlm.nih.gov/compound/3663,RELEVANT,"548-04-9, 1372719-41-9",1372719-41-9,COMPOUND,NO,NO,NO,,
1300,HYPOCHLOROUS_ACID,HYPOCHLOROUS ACID,https://pubchem.ncbi.nlm.nih.gov/compound/24341,FEATURED,"7790-92-3, 12301-79-0, 14380-61-1","1338439-06-7, 14333-29-0, 26190-92-1, 14333-29-0, 26190-92-1",COMPOUND,YES,YES,YES,,
1301,HYPOSULFUROUS_ACID,HYPOSULFUROUS ACID,https://pubchem.ncbi.nlm.nih.gov/substance/162221488,RELEVANT,No CAS info,No CAS info,SUBSTANCE,YES,YES,YES,,
1302,HYPROLOSE,HYPROLOSE,https://pubchem.ncbi.nlm.nih.gov/substance/472409612,RELEVANT,No CAS info,No CAS info,SUBSTANCE,YES,YES,YES,,
1303,HYPROMELLOSE,HYPROMELLOSE,https://pubchem.ncbi.nlm.nih.gov/compound/57503849,RELEVANT,No CAS info,No CAS info,COMPOUND,NO,YES,YES,,
1304,HYSSOPUS_OFFICINALIS,HYSSOPUS OFFICINALIS,https://pubchem.ncbi.nlm.nih.gov/substance/483936004,RELEVANT,No CAS info,No CAS info,SUBSTANCE,NO,MISSING,NO,,
1305,IBALIZUMAB,IBALIZUMAB,https://pubchem.ncbi.nlm.nih.gov/compound/Ibalizumab,FEATURED,680188-33-4,872357-57-8,COMPOUND,MISSING,YES,YES,,
1306,IBANDRONIC_ACID,IBANDRONIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/60852,FEATURED,"114084-78-5, 138844-81-2",No CAS info,COMPOUND,YES,YES,YES,,
1307,IBRITUMOMAB_TIUXETAN,IBRITUMOMAB TIUXETAN,https://pubchem.ncbi.nlm.nih.gov/compound/Ibritumomab%20Tiuxetan,FEATURED,206181-63-7,No CAS info,COMPOUND,MISSING,YES,YES,,
1308,IBRUTINIB,IBRUTINIB,https://pubchem.ncbi.nlm.nih.gov/compound/24821094,FEATURED,936563-96-1,No CAS info,COMPOUND,YES,YES,YES,,
1309,IBUPROFEN,IBUPROFEN,https://pubchem.ncbi.nlm.nih.gov/compound/3672,FEATURED,15687-27-1,"139466-08-3, 58560-75-1, 58560-75-1",COMPOUND,YES,YES,YES,,
1310,IBUTILIDE,IBUTILIDE,https://pubchem.ncbi.nlm.nih.gov/compound/60753,FEATURED,"122647-31-8, 130350-52-6, 122647-32-9",100632-81-3,COMPOUND,YES,YES,YES,,
1311,ICATIBANT,ICATIBANT,https://pubchem.ncbi.nlm.nih.gov/compound/6918173,FEATURED,"130308-48-4, 138614-30-9",No CAS info,COMPOUND,YES,YES,YES,,
1312,ICHTYOLAMMONIUM,ICHTYOLAMMONIUM,No Link,Not Found,No CAS info,No CAS info,NEITHER,MISSING,MISSING,NO,,
1313,ICOSAPENT,ICOSAPENT,https://pubchem.ncbi.nlm.nih.gov/compound/446284,FEATURED,10417-94-4,25377-48-4,COMPOUND,YES,YES,YES,,
1314,IDARUBICIN,IDARUBICIN,https://pubchem.ncbi.nlm.nih.gov/compound/42890,FEATURED,58957-92-9,No CAS info,COMPOUND,YES,YES,YES,,
1315,IDARUCIZUMAB,IDARUCIZUMAB,https://pubchem.ncbi.nlm.nih.gov/compound/Idarucizumab,FEATURED,1362509-93-0,No CAS info,COMPOUND,MISSING,YES,YES,,
1316,IDEBENONE,IDEBENONE,https://pubchem.ncbi.nlm.nih.gov/compound/3686,FEATURED,58186-27-9,No CAS info,COMPOUND,YES,YES,YES,,
1317,IDELALISIB,IDELALISIB,https://pubchem.ncbi.nlm.nih.gov/compound/11625818,FEATURED,"870281-82-6, 1146702-54-6",No CAS info,COMPOUND,YES,YES,YES,,
1318,IDOXURIDINE,IDOXURIDINE,https://pubchem.ncbi.nlm.nih.gov/compound/5905,FEATURED,54-42-2,"1336-77-2, 1556847-71-2, 888-04-0, 1222844-74-7, 1336-77-2, 1556847-71-2, 888-04-0, 888-04-0",COMPOUND,YES,YES,YES,,
1319,IDURSULFASE,IDURSULFASE,https://pubchem.ncbi.nlm.nih.gov/compound/Idursulfase,FEATURED,50936-59-9,No CAS info,COMPOUND,MISSING,YES,YES,,
1320,IFOSFAMIDE,IFOSFAMIDE,https://pubchem.ncbi.nlm.nih.gov/compound/3690,FEATURED,3778-73-2,"36341-88-5, 84711-20-6",COMPOUND,YES,YES,YES,,
1321,ILEX_AQUIFOLIUM,ILEX AQUIFOLIUM,https://pubchem.ncbi.nlm.nih.gov/compound/Ilex%20aquifolium%20flowering%20top,FEATURED,90045-83-3,No CAS info,COMPOUND,MISSING,YES,YES,,
1322,ILEX_PARAGUARIENSIS,ILEX PARAGUARIENSIS,https://pubchem.ncbi.nlm.nih.gov/substance/482030732,RELEVANT,No CAS info,No CAS info,SUBSTANCE,NO,MISSING,NO,,
1323,ILOPERIDONE,ILOPERIDONE,https://pubchem.ncbi.nlm.nih.gov/compound/71360,FEATURED,133454-47-4,No CAS info,COMPOUND,YES,YES,YES,,
1324,ILOPROST,ILOPROST,https://pubchem.ncbi.nlm.nih.gov/compound/5311181,FEATURED,78919-13-8,73873-87-7,COMPOUND,YES,YES,YES,,
1325,IMATINIB,IMATINIB,https://pubchem.ncbi.nlm.nih.gov/compound/5291,FEATURED,152459-95-5,No CAS info,COMPOUND,YES,YES,YES,,
1326,IMIGLUCERASE,IMIGLUCERASE,https://pubchem.ncbi.nlm.nih.gov/compound/Imiglucerase,FEATURED,"143003-46-7, 154248-97-2",No CAS info,COMPOUND,MISSING,YES,YES,,
1327,IMIPENEM,IMIPENEM,https://pubchem.ncbi.nlm.nih.gov/compound/104838,FEATURED,"64221-86-9, 74431-23-5","127644-14-8, 345631-68-7, 75902-88-4, 127644-14-8, 345631-68-7",COMPOUND,YES,YES,YES,,
1328,IMIPRAMINE,IMIPRAMINE,https://pubchem.ncbi.nlm.nih.gov/compound/3696,FEATURED,50-49-7,No CAS info,COMPOUND,YES,YES,YES,,
1329,IMIQUIMOD,IMIQUIMOD,https://pubchem.ncbi.nlm.nih.gov/compound/57469,FEATURED,"99011-02-6, 9050-31-1","168395-88-8, 37324-31-5, 405108-66-9, 42612-68-0, 52624-22-3, 9087-42-7",COMPOUND,YES,YES,YES,,
1330,IMMUNOGLOBULIN_ANTI-CLOSTRIDIUM_TETANI_TOXIN,IMMUNOGLOBULIN ANTI-CLOSTRIDIUM TETANI TOXIN,No Link,Not Found,No CAS info,No CAS info,NEITHER,MISSING,MISSING,NO,,
1331,IMMUNOGLOBULIN_ANTI-CYTOMEGALOVIRUS,IMMUNOGLOBULIN ANTI-CYTOMEGALOVIRUS,https://pubchem.ncbi.nlm.nih.gov/substance/135278088,RELEVANT,138660-96-5,No CAS info,SUBSTANCE,NO,MISSING,NO,,
1332,IMMUNOGLOBULIN_ANTI-D_(RHO),IMMUNOGLOBULIN ANTI-D (RHO),https://pubchem.ncbi.nlm.nih.gov/substance/482030774,RELEVANT,No CAS info,No CAS info,SUBSTANCE,NO,MISSING,NO,,
1333,IMMUNOGLOBULIN_ANTI-HEPATITIS_B_SURFACE_ANTIGEN,IMMUNOGLOBULIN ANTI-HEPATITIS B SURFACE ANTIGEN,https://pubchem.ncbi.nlm.nih.gov/substance/135314688,RELEVANT,569658-80-6,No CAS info,SUBSTANCE,NO,MISSING,NO,,
1334,IMMUNOGLOBULIN_ANTI-PARAMYXOVIRUS_PAROTITIDIS,IMMUNOGLOBULIN ANTI-PARAMYXOVIRUS PAROTITIDIS,No Link,Not Found,No CAS info,No CAS info,NEITHER,MISSING,MISSING,NO,,
1335,IMMUNOGLOBULIN_ANTI-RABIES,IMMUNOGLOBULIN ANTI-RABIES,https://pubchem.ncbi.nlm.nih.gov/substance/485665479,RELEVANT,2618667-99-3,No CAS info,SUBSTANCE,NO,MISSING,NO,,
1336,IMMUNOGLOBULIN_ANTI-THYMOCYTE,IMMUNOGLOBULIN ANTI-THYMOCYTE,https://pubchem.ncbi.nlm.nih.gov/substance/482029352,RELEVANT,No CAS info,No CAS info,SUBSTANCE,NO,MISSING,NO,,
1337,IMMUNOGLOBULIN_ANTI-VARICELLA-ZOSTER,IMMUNOGLOBULIN ANTI-VARICELLA-ZOSTER,https://pubmed.ncbi.nlm.nih.gov/2569560,RELEVANT,No CAS info,No CAS info,NEITHER,MISSING,MISSING,NO,,
1338,IMMUNOGLOBULIN_ANTIVENOM_CROTALIDAE_SNAKES,IMMUNOGLOBULIN ANTIVENOM CROTALIDAE SNAKES,https://pubmed.ncbi.nlm.nih.gov/28601268,RELEVANT,No CAS info,No CAS info,NEITHER,MISSING,MISSING,NO,,
1339,IMMUNOGLOBULIN_ANTIVENOM_MICRURUS_FULVIUS,IMMUNOGLOBULIN ANTIVENOM MICRURUS FULVIUS,https://pubmed.ncbi.nlm.nih.gov/30879857,RELEVANT,No CAS info,No CAS info,NEITHER,MISSING,MISSING,NO,,
1340,IMMUNOGLOBULIN_ANTIVENOM_SNAKES,IMMUNOGLOBULIN ANTIVENOM SNAKES,https://pubmed.ncbi.nlm.nih.gov/29045429,RELEVANT,No CAS info,No CAS info,NEITHER,MISSING,MISSING,NO,,
1341,IMMUNOGLOBULIN_ANTI_RESPIRATORY_SYNCYTIAL_VIRUS,IMMUNOGLOBULIN ANTI RESPIRATORY SYNCYTIAL VIRUS,https://pubchem.ncbi.nlm.nih.gov/substance/481101776,RELEVANT,No CAS info,No CAS info,SUBSTANCE,NO,MISSING,NO,,
1342,IMMUNOGLOBULIN_BASE,IMMUNOGLOBULIN BASE,https://pubchem.ncbi.nlm.nih.gov/bioassay/1845756,RELEVANT,No CAS info,No CAS info,NEITHER,MISSING,MISSING,NO,,
1343,INDACATEROL,INDACATEROL,https://pubchem.ncbi.nlm.nih.gov/compound/6918554,FEATURED,312753-06-3,870265-20-6,COMPOUND,YES,YES,YES,,
1344,INDAPAMIDE,INDAPAMIDE,https://pubchem.ncbi.nlm.nih.gov/compound/3702,FEATURED,26807-65-8,49564-58-1,COMPOUND,YES,YES,YES,,
1345,INDIGO_CARMINE,INDIGO CARMINE,https://pubchem.ncbi.nlm.nih.gov/compound/2723854,FEATURED,860-22-0,No CAS info,COMPOUND,YES,YES,YES,,
1346,INDINAVIR,INDINAVIR,https://pubchem.ncbi.nlm.nih.gov/compound/5362440,FEATURED,150378-17-9,"166746-42-5, 216884-06-9, 166746-42-5",COMPOUND,YES,YES,YES,,
1347,INDOCYANINE_GREEN,INDOCYANINE GREEN,https://pubchem.ncbi.nlm.nih.gov/compound/11967809,FEATURED,3599-32-4,"1814902-08-3, 58984-23-9",COMPOUND,YES,YES,YES,,
1348,INDOLE-3-CARBINOL,INDOLE-3 CARBINOL,https://pubchem.ncbi.nlm.nih.gov/compound/3712,FEATURED,700-06-1,No CAS info,COMPOUND,YES,YES,YES,,
1349,INDOMETACIN,INDOMETACIN,https://pubchem.ncbi.nlm.nih.gov/compound/3715,FEATURED,53-86-1,"37242-43-6, 503560-73-4, 91853-74-6",COMPOUND,YES,YES,YES,,
1350,INFANT_FLOURS,INFANT FLOURS,https://pubmed.ncbi.nlm.nih.gov/36943491,RELEVANT,No CAS info,No CAS info,NEITHER,MISSING,MISSING,NO,,
1351,INFANT_FOOD_MODIFIED,INFANT FOOD MODIFIED,https://pubmed.ncbi.nlm.nih.gov/37862989,RELEVANT,No CAS info,No CAS info,NEITHER,MISSING,MISSING,NO,,
1352,INFANT_MILKS,INFANT MILKS,https://pubmed.ncbi.nlm.nih.gov/27146509,RELEVANT,No CAS info,No CAS info,NEITHER,MISSING,MISSING,NO,,
1353,INFLIXIMAB,INFLIXIMAB,https://pubchem.ncbi.nlm.nih.gov/compound/Infliximab,FEATURED,170277-31-3,No CAS info,COMPOUND,MISSING,YES,YES,,
1354,INFLUENZA_NOSODE,INFLUENZA NOSODE,https://pubchem.ncbi.nlm.nih.gov/substance/482029894,RELEVANT,No CAS info,No CAS info,SUBSTANCE,NO,MISSING,NO,,
1355,INGENOL_MEBUTATE,INGENOL MEBUTATE,https://pubchem.ncbi.nlm.nih.gov/compound/6918670,FEATURED,75567-37-2,849146-39-0,COMPOUND,YES,YES,YES,,
1356,INHALER_DEVICE,INHALER DEVICE,https://pubmed.ncbi.nlm.nih.gov/37914418,RELEVANT,No CAS info,No CAS info,NEITHER,MISSING,MISSING,NO,,
1357,INOSITOL,INOSITOL,https://pubchem.ncbi.nlm.nih.gov/compound/892,FEATURED,"551-72-4, 643-12-9, 6917-35-7, 87-89-8, 488-54-0, 488-55-1, 488-58-4, 488-59-5, 576-63-6, 643-10-7, 38876-99-2","53319-35-0, 887751-76-0, 19030-27-4, 36190-90-6, 173524-45-3",COMPOUND,YES,YES,YES,,
1358,INOSITOL_NICOTINATE,INOSITOL NICOTINATE,https://pubchem.ncbi.nlm.nih.gov/compound/3720,FEATURED,6556-11-02,"14154-33-7, 2090-94-0",COMPOUND,YES,YES,YES,,
